"表1-3  111年1至11月來臺旅客人次及成長率－按國籍分
Table 1-3 Visitor Arrivals by Nationality,
 January-November, 2022";;;;;;
"國籍
Nationality";;;"111年1至11月
Jan.-November., 2022";"110年1至11月
Jan.-November., 2021";"成長率  
Growth Rate (%)";
亞洲地區;日本 Japan;;53.248 ;9.180 ;480,04 ;
;韓國 Korea,Republic of;;24.622 ;2.879 ;755,23 ;
;印度 India;;7.911 ;1.722 ;359,41 ;
;中東 Middle East;;2.421 ;641 ;277,69 ;
;東南亞地區;馬來西亞 Malaysia;29.128 ;5.915 ;392,44 ;
;;新加坡 Singapore;27.062 ;1.968 ;1275,10 ;
;;印尼 Indonesia;63.540 ;12.637 ;402,81 ;
;;菲律賓 Philippines;48.033 ;8.509 ;464,50 ;
;;泰國 Thailand;43.738 ;7.152 ;511,55 ;
;;越南 Vietnam;115.528 ;24.414 ;373,20 ;
;;東南亞其他地區 Ohters;3.062 ;1.084 ;182,47 ;
;;東南亞小計 Sub-Total;330.091 ;61.679 ;435,18 ;
;亞洲其他地區 Others;;1.782 ;612 ;191,18 ;
;亞洲合計 Total;;420.075 ;76.713 ;447,59 ;
美洲地區;加拿大 Canada;;8.413 ;978 ;760,22 ;
;美國 United States of America;;50.963 ;8.818 ;477,94 ;
;墨西哥 Mexico;;604 ;174 ;247,13 ;
;巴西 Brazil;;545 ;134 ;306,72 ;
;阿根廷 Argentina;;102 ;25 ;308,00 ;
;美洲其他地區 Others;;2.999 ;1.020 ;194,02 ;
;美洲合計 Total;;63.626 ;11.149 ;470,69 ;
歐洲地區;比利時 Belgium;;1.532 ;642 ;138,63 ;
;法國 France;;6.293 ;1.438 ;337,62 ;
;德國 Germany;;7.656 ;1.719 ;345,38 ;
;義大利 Italy;;2.476 ;517 ;378,92 ;
;荷蘭 Netherlands;;4.920 ;1.875 ;162,40 ;
;瑞士 Switzerland;;1.091 ;178 ;512,92 ;
;西班牙 Spain;;1.568 ;391 ;301,02 ;
;英國 United Kingdom;;11.271 ;2.688 ;319,31 ;
;奧地利 Austria;;1.018 ;219 ;364,84 ;
;希臘 Greece;;187 ;63 ;196,83 ;
;瑞典 Sweden;;1.035 ;241 ;329,46 ;
;歐洲其他地區 Others;;13.112 ;5.062 ;159,03 ;
;歐洲合計 Total;;52.159 ;15.033 ;246,96 ;
大洋洲;澳大利亞 Australia;;5.717 ;429 ;1232,63 ;
;紐西蘭 New Zealand;;1.281 ;134 ;855,97 ;
;大洋洲其他地區 Others;;512 ;589 ;-13,07 ;
;大洋洲合計 Total;;7.510 ;1.152 ;551,91 ;
非洲地區;南非 S.Africa;;1.358 ;326 ;316,56 ;
;非洲其他地區 Others;;1.612 ;506 ;218,58 ;
;非洲合計 Total;;2.970 ;832 ;256,97 ;
;未列明 Unstated;;168 ;66 ;154,55 ;
;華僑 Overseas chinese;;47.354 ;25.542 ;85,40 ;
;總計 Grand Total;;593.862 ;130.487 ;355,11 ;
